on_time_delivery_rate,flexibility_in_urgent_orders,competitive_pricing,payment_terms,financial_stability,quality_consistency,percentage_of_returns,adherence_to_specifications,category,lowest_cost
89,4,0,4,1,4,3,4,pharmacy,2.9274999999999993
92,4,0,4,1,4,2,5,pharmacy,3.0500000000000007
87,3,0,3,1,3,5,4,pharmacy,2.4424999999999994
94,5,1,5,1,5,1,5,pharmacy,3.92
82,2,-1,2,0,3,8,3,pharmacy,1.3850000000000002
90,4,0,4,1,4,3,4,pharmacy,2.9299999999999997
97,5,1,5,1,5,1,5,pharmacy,3.9274999999999998
85,3,0,3,1,3,6,4,pharmacy,2.4225
93,4,1,4,1,4,2,5,pharmacy,3.4525
88,3,0,3,1,4,4,4,pharmacy,2.5599999999999996
95,5,1,5,1,5,1,5,pharmacy,3.9225
84,3,-1,3,0,3,7,3,pharmacy,1.7550000000000001
91,4,0,4,1,4,3,5,pharmacy,3.0324999999999998
89,4,0,4,1,4,3,4,pharmacy,2.9274999999999993
96,5,1,5,1,5,1,5,pharmacy,3.925
86,3,0,3,1,3,5,4,pharmacy,2.44
92,4,0,4,1,4,2,5,pharmacy,3.0500000000000007
80,2,-1,2,0,3,8,3,pharmacy,1.3800000000000001
94,5,1,5,1,5,1,5,pharmacy,3.92
88,3,0,3,1,4,5,4,clothing,2.5449999999999995
93,4,1,4,1,4,3,5,clothing,3.4375
82,2,-1,2,0,3,9,3,clothing,1.37
90,4,0,4,1,4,4,4,clothing,2.915
95,5,1,5,1,5,2,5,clothing,3.9075000000000006
85,3,0,3,1,3,7,4,clothing,2.4074999999999998
91,4,0,4,1,4,4,5,clothing,3.0174999999999996
87,3,0,3,1,3,6,4,clothing,2.4274999999999998
96,5,1,5,1,5,1,5,clothing,3.925
83,3,-1,3,0,3,8,3,clothing,1.7375000000000003
92,4,0,4,1,4,3,5,clothing,3.035
86,3,0,3,1,3,6,4,clothing,2.4250000000000003
94,5,1,5,1,5,2,5,clothing,3.9050000000000002
80,2,-1,2,0,3,10,3,clothing,1.3500000000000003
89,4,0,4,1,4,4,4,clothing,2.9124999999999996
93,4,1,4,1,4,3,5,clothing,3.4375
87,3,0,3,1,3,6,4,clothing,2.4274999999999998
95,5,1,5,1,5,2,5,clothing,3.9075000000000006
84,3,-1,3,0,3,8,3,clothing,1.7399999999999998
90,4,0,4,1,4,4,4,clothing,2.915
92,4,0,4,1,4,3,5,clothing,3.035
86,3,0,3,1,3,6,4,clothing,2.4250000000000003
94,5,1,5,1,5,2,5,clothing,3.9050000000000002
81,2,-1,2,0,3,9,3,clothing,1.3675000000000002
88,3,0,3,1,4,5,4,clothing,2.5449999999999995
89,4,0,4,1,4,4,4,gifts,2.9124999999999996
94,5,1,5,1,5,2,5,gifts,3.9050000000000002
83,3,-1,3,0,3,8,3,gifts,1.7375000000000003
91,4,0,4,1,4,3,5,gifts,3.0324999999999998
96,5,1,5,1,5,1,5,gifts,3.925
86,3,0,3,1,3,6,4,gifts,2.4250000000000003
92,4,0,4,1,4,3,5,gifts,3.035
88,3,0,3,1,4,5,4,gifts,2.5449999999999995
95,5,1,5,1,5,2,5,gifts,3.9075000000000006
82,2,-1,2,0,3,9,3,gifts,1.37
90,4,0,4,1,4,4,4,gifts,2.915
87,3,0,3,1,3,6,4,gifts,2.4274999999999998
93,4,1,4,1,4,3,5,gifts,3.4375
80,2,-1,2,0,3,10,3,gifts,1.3500000000000003
89,4,0,4,1,4,4,4,gifts,2.9124999999999996
94,5,1,5,1,5,2,5,gifts,3.9050000000000002
85,3,0,3,1,3,7,4,gifts,2.4074999999999998
91,4,0,4,1,4,3,5,gifts,3.0324999999999998
84,3,-1,3,0,3,8,3,gifts,1.7399999999999998
92,4,0,4,1,4,3,5,gifts,3.035
88,3,0,3,1,4,5,4,gifts,2.5449999999999995
95,5,1,5,1,5,2,5,gifts,3.9075000000000006
86,3,0,3,1,3,6,4,gifts,2.4250000000000003
93,4,1,4,1,4,3,5,gifts,3.4375
81,2,-1,2,0,3,9,3,gifts,1.3675000000000002
90,4,0,4,1,4,4,4,beauty,2.915
95,5,1,5,1,5,2,5,beauty,3.9075000000000006
84,3,-1,3,0,3,7,3,beauty,1.7550000000000001
92,4,0,4,1,4,3,5,beauty,3.035
97,5,1,5,1,5,1,5,beauty,3.9274999999999998
87,3,0,3,1,3,6,4,beauty,2.4274999999999998
93,4,1,4,1,4,3,5,beauty,3.4375
89,4,0,4,1,4,4,4,beauty,2.9124999999999996
96,5,1,5,1,5,1,5,beauty,3.925
83,3,-1,3,0,3,8,3,beauty,1.7375000000000003
91,4,0,4,1,4,3,5,beauty,3.0324999999999998
88,3,0,3,1,4,5,4,beauty,2.5449999999999995
94,5,1,5,1,5,2,5,beauty,3.9050000000000002
81,2,-1,2,0,3,9,3,beauty,1.3675000000000002
90,4,0,4,1,4,4,4,beauty,2.915
95,5,1,5,1,5,2,5,beauty,3.9075000000000006
86,3,0,3,1,3,6,4,beauty,2.4250000000000003
92,4,0,4,1,4,3,5,beauty,3.035
85,3,-1,3,0,3,7,3,beauty,1.7575000000000003
93,4,1,4,1,4,3,5,beauty,3.4375
89,4,0,4,1,4,4,4,beauty,2.9124999999999996
96,5,1,5,1,5,1,5,beauty,3.925
87,3,0,3,1,3,6,4,beauty,2.4274999999999998
94,5,1,5,1,5,2,5,beauty,3.9050000000000002
82,2,-1,2,0,3,8,3,beauty,1.3850000000000002
93,4,1,4,1,4,2,5,electronics,3.4525
87,3,0,3,1,3,5,4,electronics,2.4424999999999994
95,5,1,5,1,5,1,5,electronics,3.9225
82,2,-1,2,0,3,8,3,electronics,1.3850000000000002
90,4,0,4,1,4,3,4,electronics,2.9299999999999997
96,5,1,5,1,5,1,5,electronics,3.925
85,3,0,3,1,3,6,4,electronics,2.4225
92,4,0,4,1,4,2,5,electronics,3.0500000000000007
88,3,0,3,1,4,4,4,electronics,2.5599999999999996
97,5,1,5,1,5,1,5,electronics,3.9274999999999998
83,3,-1,3,0,3,7,3,electronics,1.7525
91,4,0,4,1,4,3,5,electronics,3.0324999999999998
86,3,0,3,1,3,5,4,electronics,2.44
94,5,1,5,1,5,1,5,electronics,3.92
80,2,-1,2,0,3,9,3,electronics,1.3650000000000002
89,4,0,4,1,4,3,4,electronics,2.9274999999999993
95,5,1,5,1,5,1,5,electronics,3.9225
84,3,-1,3,0,3,7,3,electronics,1.7550000000000001
92,4,0,4,1,4,2,5,electronics,3.0500000000000007
87,3,0,3,1,3,5,4,electronics,2.4424999999999994
96,5,1,5,1,5,1,5,electronics,3.925
85,3,0,3,1,3,6,4,electronics,2.4225
93,4,1,4,1,4,2,5,electronics,3.4525
81,2,-1,2,0,3,8,3,electronics,1.3825
90,4,0,4,1,4,3,4,electronics,2.9299999999999997
91,4,0,4,1,4,3,5,sports,3.0324999999999998
96,5,1,5,1,5,1,5,sports,3.925
85,3,0,3,1,3,6,4,sports,2.4225
93,4,1,4,1,4,2,5,sports,3.4525
82,2,-1,2,0,3,8,3,sports,1.3850000000000002
94,5,1,5,1,5,1,5,sports,3.92
88,3,0,3,1,4,4,4,sports,2.5599999999999996
92,4,0,4,1,4,2,5,sports,3.0500000000000007
86,3,0,3,1,3,5,4,sports,2.44
95,5,1,5,1,5,1,5,sports,3.9225
83,3,-1,3,0,3,7,3,sports,1.7525
90,4,0,4,1,4,3,4,sports,2.9299999999999997
97,5,1,5,1,5,1,5,sports,3.9274999999999998
87,3,0,3,1,3,5,4,sports,2.4424999999999994
94,5,1,5,1,5,1,5,sports,3.92
89,4,0,4,1,4,3,4,sports,2.9274999999999993
96,5,1,5,1,5,1,5,sports,3.925
84,3,-1,3,0,3,7,3,sports,1.7550000000000001
92,4,0,4,1,4,2,5,sports,3.0500000000000007
88,3,0,3,1,4,4,4,sports,2.5599999999999996
95,5,1,5,1,5,1,5,sports,3.9225
86,3,0,3,1,3,5,4,sports,2.44
93,4,1,4,1,4,2,5,sports,3.4525
81,2,-1,2,0,3,8,3,sports,1.3825
91,4,0,4,1,4,3,5,sports,3.0324999999999998
