on_time_delivery_rate,flexibility_in_urgent_orders,competitive_pricing,payment_terms,financial_stability,quality_consistency,percentage_of_returns,adherence_to_specifications,category,best_quality
91,4,0,4,1,4,3,5,gifts,4.3925
84,3,-1,3,0,3,8,3,gifts,2.7
92,4,0,4,1,4,3,5,gifts,4.3950000000000005
88,3,0,3,1,4,5,4,gifts,3.745
95,5,1,5,1,5,2,5,gifts,5.0
86,3,0,3,1,3,6,4,gifts,3.295
93,4,1,4,1,4,3,5,gifts,4.4975000000000005
81,2,-1,2,0,3,9,3,gifts,2.3975
90,4,0,4,1,4,4,4,beauty,4.045
95,5,1,5,1,5,2,5,beauty,5.0
84,3,-1,3,0,3,7,3,beauty,2.745
92,4,0,4,1,4,3,5,beauty,4.3950000000000005
97,5,1,5,1,5,1,5,beauty,5.0
87,3,0,3,1,3,6,4,beauty,3.2975000000000003
93,4,1,4,1,4,3,5,beauty,4.4975000000000005
89,4,0,4,1,4,4,4,beauty,4.0424999999999995
96,5,1,5,1,5,1,5,beauty,5.0
83,3,-1,3,0,3,8,3,beauty,2.6975000000000007
91,4,0,4,1,4,3,5,beauty,4.3925
88,3,0,3,1,4,5,4,beauty,3.745
94,5,1,5,1,5,2,5,beauty,5.0
81,2,-1,2,0,3,9,3,beauty,2.3975
90,4,0,4,1,4,4,4,beauty,4.045
95,5,1,5,1,5,2,5,beauty,5.0
86,3,0,3,1,3,6,4,beauty,3.295
92,4,0,4,1,4,3,5,beauty,4.3950000000000005
85,3,-1,3,0,3,7,3,beauty,2.7475
93,4,1,4,1,4,3,5,beauty,4.4975000000000005
89,4,0,4,1,4,4,4,beauty,4.0424999999999995
96,5,1,5,1,5,1,5,beauty,5.0
87,3,0,3,1,3,6,4,beauty,3.2975000000000003
94,5,1,5,1,5,2,5,beauty,5.0
82,2,-1,2,0,3,8,3,beauty,2.4450000000000003
93,4,1,4,1,4,2,5,electronics,4.5425
87,3,0,3,1,3,5,4,electronics,3.3425000000000002
95,5,1,5,1,5,1,5,electronics,5.0
82,2,-1,2,0,3,8,3,electronics,2.4450000000000003
90,4,0,4,1,4,3,4,electronics,4.090000000000001
96,5,1,5,1,5,1,5,electronics,5.0
85,3,0,3,1,3,6,4,electronics,3.2925000000000004
92,4,0,4,1,4,2,5,electronics,4.44
88,3,0,3,1,4,4,4,electronics,3.79
97,5,1,5,1,5,1,5,electronics,5.0
83,3,-1,3,0,3,7,3,electronics,2.7424999999999997
91,4,0,4,1,4,3,5,electronics,4.3925
86,3,0,3,1,3,5,4,electronics,3.34
94,5,1,5,1,5,1,5,electronics,5.0
80,2,-1,2,0,3,9,3,electronics,2.395
89,4,0,4,1,4,3,4,electronics,4.0875
95,5,1,5,1,5,1,5,electronics,5.0
84,3,-1,3,0,3,7,3,electronics,2.745
92,4,0,4,1,4,2,5,electronics,4.44
87,3,0,3,1,3,5,4,electronics,3.3425000000000002
96,5,1,5,1,5,1,5,electronics,5.0
85,3,0,3,1,3,6,4,electronics,3.2925000000000004
93,4,1,4,1,4,2,5,electronics,4.5425
81,2,-1,2,0,3,8,3,electronics,2.4425
90,4,0,4,1,4,3,4,electronics,4.090000000000001
91,4,0,4,1,4,3,5,sports,4.3925
96,5,1,5,1,5,1,5,sports,5.0
85,3,0,3,1,3,6,4,sports,3.2925000000000004
93,4,1,4,1,4,2,5,sports,4.5425
82,2,-1,2,0,3,8,3,sports,2.4450000000000003
94,5,1,5,1,5,1,5,sports,5.0
88,3,0,3,1,4,4,4,sports,3.79
92,4,0,4,1,4,2,5,sports,4.44
86,3,0,3,1,3,5,4,sports,3.34
95,5,1,5,1,5,1,5,sports,5.0
83,3,-1,3,0,3,7,3,sports,2.7424999999999997
90,4,0,4,1,4,3,4,sports,4.090000000000001
97,5,1,5,1,5,1,5,sports,5.0
87,3,0,3,1,3,5,4,sports,3.3425000000000002
94,5,1,5,1,5,1,5,sports,5.0
89,4,0,4,1,4,3,4,sports,4.0875
96,5,1,5,1,5,1,5,sports,5.0
84,3,-1,3,0,3,7,3,sports,2.745
92,4,0,4,1,4,2,5,sports,4.44
88,3,0,3,1,4,4,4,sports,3.79
95,5,1,5,1,5,1,5,sports,5.0
86,3,0,3,1,3,5,4,sports,3.34
93,4,1,4,1,4,2,5,sports,4.5425
81,2,-1,2,0,3,8,3,sports,2.4425
91,4,0,4,1,4,3,5,sports,4.3925
