on_time_delivery_rate,flexibility_in_urgent_orders,competitive_pricing,payment_terms,financial_stability,quality_consistency,percentage_of_returns,adherence_to_specifications,category,quick_delivery
86,3,0,3,1,3,5,4,pharmacy,2.584192482515703
92,4,0,4,1,4,2,5,pharmacy,3.120641168427374
80,2,-1,2,0,3,8,3,pharmacy,2.2840560825100886
94,5,1,5,1,5,1,5,pharmacy,3.3472498516402287
88,3,0,3,1,4,5,4,clothing,2.850167158341641
93,4,1,4,1,4,3,5,clothing,3.2691660308896004
82,2,-1,2,0,3,9,3,clothing,2.1341492434775082
90,4,0,4,1,4,4,4,clothing,3.038493304554313
95,5,1,5,1,5,2,5,clothing,3.381829016190762
85,3,0,3,1,3,7,4,clothing,2.5073364858250424
91,4,0,4,1,4,4,5,clothing,3.0399212471347847
87,3,0,3,1,3,6,4,clothing,2.626162059651831
96,5,1,5,1,5,1,5,clothing,3.4699481488150017
83,3,-1,3,0,3,8,3,clothing,2.3858463627026922
92,4,0,4,1,4,3,5,clothing,3.1369748766771774
86,3,0,3,1,3,6,4,clothing,2.7975073341876078
94,5,1,5,1,5,2,5,clothing,3.3928004335847164
80,2,-1,2,0,3,10,3,clothing,1.9195374187970675
89,4,0,4,1,4,4,4,clothing,2.784676868618553
93,4,1,4,1,4,3,5,clothing,3.2303320539288385
87,3,0,3,1,3,6,4,clothing,2.596157027776028
95,5,1,5,1,5,2,5,clothing,3.4546372200980735
84,3,-1,3,0,3,8,3,clothing,2.3485645044810055
90,4,0,4,1,4,4,4,clothing,3.0452023581844494
92,4,0,4,1,4,3,5,clothing,2.9666520189310157
86,3,0,3,1,3,6,4,clothing,2.408992191605634
94,5,1,5,1,5,2,5,clothing,3.280631095337337
81,2,-1,2,0,3,9,3,clothing,1.991876339240666
88,3,0,3,1,4,5,4,clothing,2.7743700526374746
89,4,0,4,1,4,4,4,gifts,2.990686715023041
94,5,1,5,1,5,2,5,gifts,3.2921679649696074
83,3,-1,3,0,3,8,3,gifts,2.449671538718634
91,4,0,4,1,4,3,5,gifts,2.9994640196360933
96,5,1,5,1,5,1,5,gifts,3.4913773750377626
86,3,0,3,1,3,6,4,gifts,2.695894917214221
92,4,0,4,1,4,3,5,gifts,3.0197054346260486
88,3,0,3,1,4,5,4,gifts,2.637767249189819
95,5,1,5,1,5,2,5,gifts,3.5141042527470128
82,2,-1,2,0,3,9,3,gifts,2.261515146971405
90,4,0,4,1,4,4,4,gifts,3.1201311353413446
87,3,0,3,1,3,6,4,gifts,2.505657396931452
93,4,1,4,1,4,3,5,gifts,3.015719947417729
80,2,-1,2,0,3,10,3,gifts,2.311226400078496
89,4,0,4,1,4,4,4,gifts,2.8780473969702904
94,5,1,5,1,5,2,5,gifts,3.3791147575326326
85,3,0,3,1,3,7,4,gifts,2.6457077444619843
91,4,0,4,1,4,3,5,gifts,3.116259852034934
84,3,-1,3,0,3,8,3,gifts,2.460731634311324
92,4,0,4,1,4,3,5,gifts,3.0984405454250714
88,3,0,3,1,4,5,4,gifts,2.93477608610648
95,5,1,5,1,5,2,5,gifts,3.694572430231717
86,3,0,3,1,3,6,4,gifts,2.6795240784032077
93,4,1,4,1,4,3,5,gifts,3.3531185900261704
81,2,-1,2,0,3,9,3,gifts,2.256832998120587
90,4,0,4,1,4,4,4,beauty,3.1039050129807464
95,5,1,5,1,5,2,5,beauty,3.286151680378109
84,3,-1,3,0,3,7,3,beauty,2.3984435331488143
92,4,0,4,1,4,3,5,beauty,2.9939560196201374
97,5,1,5,1,5,1,5,beauty,3.584140011210642
87,3,0,3,1,3,6,4,beauty,2.574188582705126
93,4,1,4,1,4,3,5,beauty,3.1579180165124576
89,4,0,4,1,4,4,4,beauty,2.9483850467543657
96,5,1,5,1,5,1,5,beauty,3.3985632346719985
83,3,-1,3,0,3,8,3,beauty,2.5424695876338688
91,4,0,4,1,4,3,5,beauty,3.0683889793941863
88,3,0,3,1,4,5,4,beauty,2.5753685880281365
94,5,1,5,1,5,2,5,beauty,3.441328780922702
81,2,-1,2,0,3,9,3,beauty,2.237662820076452
90,4,0,4,1,4,4,4,beauty,2.9940819542149435
95,5,1,5,1,5,2,5,beauty,3.4331510539993215
86,3,0,3,1,3,6,4,beauty,2.6076578431185427
92,4,0,4,1,4,3,5,beauty,3.1488325003484423
85,3,-1,3,0,3,7,3,beauty,2.4953795581065257
93,4,1,4,1,4,3,5,beauty,3.228594496440897
89,4,0,4,1,4,4,4,beauty,2.8513299444059625
96,5,1,5,1,5,1,5,beauty,3.505039795871755
87,3,0,3,1,3,6,4,beauty,2.724007841924517
94,5,1,5,1,5,2,5,beauty,3.6448971940667345
82,2,-1,2,0,3,8,3,beauty,2.0977832722129377
93,4,1,4,1,4,2,5,electronics,3.176824865757996
87,3,0,3,1,3,5,4,electronics,2.712878088524084
95,5,1,5,1,5,1,5,electronics,3.452377636037071
82,2,-1,2,0,3,8,3,electronics,2.129467476283057
90,4,0,4,1,4,3,4,electronics,2.94884628491114
96,5,1,5,1,5,1,5,electronics,3.3938823215341927
85,3,0,3,1,3,6,4,electronics,2.6808663620663644
92,4,0,4,1,4,2,5,electronics,3.116073655410431
88,3,0,3,1,4,4,4,electronics,2.857487671812162
97,5,1,5,1,5,1,5,electronics,3.510245566174341
83,3,-1,3,0,3,7,3,electronics,2.510080118160989
91,4,0,4,1,4,3,5,electronics,2.9235793371218706
86,3,0,3,1,3,5,4,electronics,2.58402516707532
94,5,1,5,1,5,1,5,electronics,3.43109831190783
80,2,-1,2,0,3,9,3,electronics,2.1363227876299136
89,4,0,4,1,4,3,4,electronics,2.8924101476381225
95,5,1,5,1,5,1,5,electronics,3.6566173250790643
84,3,-1,3,0,3,7,3,electronics,2.414677437283587
92,4,0,4,1,4,2,5,electronics,2.9929229996356477
87,3,0,3,1,3,5,4,electronics,2.7030798917256247
96,5,1,5,1,5,1,5,electronics,3.3479482499093027
85,3,0,3,1,3,6,4,electronics,2.4941181304794413
93,4,1,4,1,4,2,5,electronics,3.2193692054230216
81,2,-1,2,0,3,8,3,electronics,2.247990947959919
90,4,0,4,1,4,3,4,electronics,2.9730958859755923
91,4,0,4,1,4,3,5,sports,3.078454006163375
96,5,1,5,1,5,1,5,sports,3.466579203334803
85,3,0,3,1,3,6,4,sports,2.6879255508172752
93,4,1,4,1,4,2,5,sports,3.0394952800443957
82,2,-1,2,0,3,8,3,sports,2.162767341515976
94,5,1,5,1,5,1,5,sports,3.506475600182949
88,3,0,3,1,4,4,4,sports,2.6594283287927833
92,4,0,4,1,4,2,5,sports,3.0935709570663597
86,3,0,3,1,3,5,4,sports,2.5762176088589412
95,5,1,5,1,5,1,5,sports,3.3868508281718386
83,3,-1,3,0,3,7,3,sports,2.52529288220652
90,4,0,4,1,4,3,4,sports,2.995865316261762
97,5,1,5,1,5,1,5,sports,3.61475641472094
87,3,0,3,1,3,5,4,sports,2.825255937394557
94,5,1,5,1,5,1,5,sports,3.3841799197139237
89,4,0,4,1,4,3,4,sports,3.0152117662812414
96,5,1,5,1,5,1,5,sports,3.497417546525978
84,3,-1,3,0,3,7,3,sports,2.368594655484824
92,4,0,4,1,4,2,5,sports,3.1247000619846634
88,3,0,3,1,4,4,4,sports,2.740442090993963
95,5,1,5,1,5,1,5,sports,3.40957633095897
86,3,0,3,1,3,5,4,sports,2.593423025884464
93,4,1,4,1,4,2,5,sports,3.1136739853482585
81,2,-1,2,0,3,8,3,sports,2.1165989402768273
91,4,0,4,1,4,3,5,sports,3.035327291805687
